Id,Description,Option1,Option2,Option3,Answer,SubjectId
1,Tempoyak ialah sejenis makanan yang dibuat daripada buah                            . ,nangka,betik,rambutan,durian,19
2,Kebanyakan pendatang dari Indonesia dari Bangladesh dating ke negara                        kerana banyak terdapat peluang pekerjaan. ,kami,saya,dia,kita,19
3,Istana Syarqiyyah ialah tempat bersemayam                         Sultan Terengganu. ,tuanku,patik,raja,baginda,19
4,Piala lama kepunyaan ayah yang tersimpan di dalam almari itu kelihatan___________kerana sudah lama tidak digilap. ,pudar,buruk,kabur,kusam,19
5,Kedengaran bunyi beruang_______________ di dalam hutan menyebabkan binatang lain lari bertempiaran untuk menyelamatkan diri. ,menyalak,meringkik,melenguh,menderam,19
6,Ahmad found that all the paddy plants in his paddy field were destroyed by the rats. Which of the following animals can help to solve Ahmad’s problem? ,Sparrow,Eagle ,Buffalo ,Cat ,13
7,Which of the following methods is used to measure the volume of uneven object? ,Using the formula ,Using graph paper ,Using the triple beam balance ,Using water displacement method ,13
8,Which of these answer is the standard unit to measure area ,Centimetre ,Kilometre ,Milimetre cubic ,Metre square ,13
9,What is the process involved in the change of a liquid to gas? ,Condensation ,Freezing ,Melting ,Evaporation ,13
10,Which of the following is suitable to build a strong building? ,Bamboo ,Clay ,Wood ,Concrete ,13
11,1 km 725m + 2km 50m =  ,3km 225m ,4km 225m ,4km 775m ,3km 775m ,7
12,39894 – 7 x 5692 ,55,60,65,50,7
13,Give the result of 13.5 divided by 6 ,2.02,2.20,2.52,2.25,7
14,88 days =  ,11 weeks 3 days,11 weeks 4 days,12 weeks 3 days,12 weeks 4 days,7
15,7 days =  ,2 weeks,no days, 6000 days,1 week,7
16,Laila uses a ____________ of soap to bathe ,cup,loaf,tube,bar,1
17,Zaki got the __________marks for English in classroom’s history of 6 Newton. ,less,lowest,lingilo,least,1
18,Joyce _______ programming. ,Liki ,Liking ,Lingolilo ,Likes ,1
19,Soyabean is __________drink. ,Them,Long,Have,A,1
20,My mother is __________ woman in the universe. ,prettiest,ugly,handome,the prettiest,1
